ID,Titulo,Autoria,Localizacao,Freguesia,Data,Tipologia,pic_url,LON,LAT,Descricao
1,Sem título ,Odeith,Troço IC17/Cril,Falagueira-Venda Nova,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id1.jpg,"-9,206684484","38,75863515","Odeith. Graffiti Anamórfico (2010). """"Acho que quem gosta de graffiti acaba sempre por fazer quase o ritual todo."""" Peça realizada no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora. "
3,Bob Marley,Odeith,Bairro da Cova da Moura,Águas Livres,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id3.jpg,"-9,21382941","38,74639666","Odeith (2010). """"Era mais influenciado pelo que vivia no dia-a-dia."""" Mural localizado no Bairro da Cova da Moura, na freguesia da Damaia. Exibe uma figura mediática e vista como um exemplo na comunidade, o intérprete Bob Marley. "
30,Eusébio,Odeith,Bairro da Cova da Moura,Águas Livres,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id30.jpg,"-9,211780345","38,7455421","Odeith (2014). """"A expressão graffiti vem da expressão """"getting up"""", que é tu levantares o teu nome, seres alguém, seres reconhecido na terra onde vives."""" Mural localizado no Bairro da Cova da Moura, na freguesia da Damaia e que presta homenagem ao jogador de futebol Eusébio. "
25,IT ALL FALLS DOWN,Akacorleone,Fórum Luís de Camões,Encosta do Sol,2012,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id25.jpg,"-9,21435719","38,7642137",Aka Corleone (2012). “Este é um dos meus murais preferidos. Sempre fui um frequentador do festival Amadora BD e sou muito influenciado pela banda desenhada. Este mural foi o primeiro no qual desenvolvi um estilo que ainda não tinha transportado para uma parede”
2,Sem título,Dzenhart,Troço IC17/Cril,Encosta do Sol,2010,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id2.jpg,"-9,201705937","38,7596568","Dzenhart (2010). Mural realizado no âmbito do Concurso de Pintura de Murais sobre Banda Desenhada, promovido pelas Estradas de Portugal e em parceria com a Câmara Municipal da Amadora."
4,Os verdadeiros heróis nunca serão esquecidos,Odeith,Rua Dr. Francisco Sousa Tavares,Águas Livres,2013,Hall of Fame (Extensão Mural),http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id4.jpg,"-9,216830386","38,74113556","Odeith (2013). Mural localizado nas traseiras da Escola Secundária D.João V, na Damaia. Este mural representa uma homenagem aos bombeiros, vítimas dos incêndios."
27,Sem título,Odeith,Rua Dr. Francisco Sousa Tavares,Águas Livres,2003,Hall of Fame (Extensão Mural),http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id27.jpg,"-9,216436617","38,74117056","Odeith (2003). Mural localizado nas traseiras da Escola Secundária D. João V, na Damaia."
26,Sem título,Odeith e Milu Correch,Rua Dr. Francisco Sousa Tavares,Águas Livres,2013,Hall of Fame (Extensão Mural),http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id26.jpg,"-9,216316145","38,74117179","Odeith e Milu Correch (2013). Mural localizado nas traseiras da Escola Secundária D. João V, na Damaia. Odeith colaborou com a artista urbana argentina Milu Correch na realização deste mural."
28,Legionários,Odeith e Vile,Rua Dr. Francisco Sousa Tavares,Águas Livres,2007,Hall of Fame (Extensão Mural),http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id28.jpg,"-9,21662108","38,7411637","Odeith e VILE (2007). """"[O graffiti] é uma manifestação e se tu vires acho que nas zonas com mais população, ou seja, onde há prédios maiores, onde há se calhar guetos é onde as pessoas se tendem a manifestar e arriscar, e isso sempre foi assim e há-de ser."""" Mural localizado nas traseiras da Escola Secundária D. João V, na Damaia. "
29,Sem título ,Odeith/LGN Crew,Rua Dr. Francisco Sousa Tavares,Águas Livres,2009,Hall of Fame (Extensão Mural),http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id29.jpg,"-9,21670778","38,74115924","Odeith LGN Crew (2009). Mural localizado nas traseiras da Escola Secundária D. João V, na Damaia."
